hand1_str,hand2_str,equity_hand1,equity_hand2
AJs,KTs,0.64695,0.35305
AJs,K9s,0.62885,0.37115
AJs,K8s,0.6341,0.3659
AJs,K7s,0.63165,0.36834999999999996
AJs,K6s,0.6298,0.3702
AJs,K5s,0.62565,0.37434999999999996
AJs,K4s,0.667,0.33299999999999996
AJs,K3s,0.6356,0.36439999999999995
AJs,K2s,0.6388,0.36119999999999997
AJs,AQo,0.30145,0.69855
AJs,KQo,0.6118,0.3882
AJs,QQ,0.32565,0.67435
AJs,QJs,0.70345,0.29655
AJs,QTs,0.60015,0.39985000000000004
AJs,Q9s,0.61495,0.38505
AJs,Q8s,0.64925,0.35075
AJs,Q7s,0.63165,0.36834999999999996
AJs,Q6s,0.62325,0.37675000000000003
AJs,Q5s,0.63,0.37
AJs,Q4s,0.6282,0.3718
AJs,Q3s,0.63805,0.36195
AJs,Q2s,0.63535,0.36465000000000003
AJs,AJo,0.49835,0.5016499999999999
AJs,KJo,0.7524,0.24760000000000004
AJs,QJo,0.7437,0.2563
AJs,JJ,0.34455,0.65545
AJs,JTs,0.68035,0.31965
AJs,J9s,0.7456,0.25439999999999996
AJs,J8s,0.70015,0.29984999999999995
AJs,J7s,0.71595,0.28405
AJs,J6s,0.7274,0.27259999999999995
AJs,J5s,0.7346,0.26539999999999997
AJs,J4s,0.7382,0.26180000000000003
AJs,J3s,0.78095,0.21904999999999997
AJs,J2s,0.74135,0.25865000000000005
AJs,ATo,0.7297,0.2703
AJs,KTo,0.6394,0.36060000000000003
AJs,QTo,0.6294,0.37060000000000004
AJs,JTo,0.72115,0.27885000000000004
AJs,TT,0.46335,0.5366500000000001
AJs,T9s,0.6487,0.35129999999999995
AJs,T8s,0.62135,0.37865000000000004
AJs,T7s,0.6398,0.36019999999999996
AJs,T6s,0.64235,0.35765
AJs,T5s,0.68775,0.31225
AJs,T4s,0.65085,0.34914999999999996
AJs,T3s,0.68535,0.31465
AJs,T2s,0.66675,0.33325000000000005
AJs,A9o,0.7421,0.2579
AJs,K9o,0.66645,0.33355
AJs,Q9o,0.65125,0.34875
AJs,J9o,0.7391,0.2609
AJs,T9o,0.65155,0.34845000000000004
AJs,99,0.4703,0.5297000000000001
AJs,98s,0.6127,0.3873
AJs,97s,0.6149,0.3851
AJs,96s,0.6403,0.3597
AJs,95s,0.6438,0.35619999999999996
AJs,94s,0.65885,0.34114999999999995
AJs,93s,0.65845,0.34155
AJs,92s,0.69485,0.30515000000000003
AJs,A8o,0.74035,0.25965000000000005
AJs,K8o,0.6671,0.3329
AJs,Q8o,0.65035,0.34965
AJs,J8o,0.7417,0.2583
AJs,T8o,0.65435,0.34565
AJs,98o,0.648,0.352
AJs,88,0.4657,0.5343
AJs,87s,0.60925,0.39075000000000004
AJs,86s,0.6208,0.3792
AJs,85s,0.63245,0.36755000000000004
AJs,84s,0.63195,0.36805
AJs,83s,0.6913,0.3087
AJs,82s,0.64815,0.35185
AJs,A7o,0.69275,0.30725
AJs,K7o,0.6638,0.33620000000000005
AJs,Q7o,0.66805,0.33194999999999997
AJs,J7o,0.75895,0.24105
AJs,T7o,0.6702,0.3298
AJs,97o,0.64395,0.35605
AJs,87o,0.64705,0.35295
AJs,77,0.4803,0.5197
AJs,76s,0.64035,0.35965
AJs,75s,0.62245,0.37755000000000005
AJs,74s,0.66005,0.33995
AJs,73s,0.6384,0.36160000000000003
AJs,72s,0.6534,0.3466
AJs,A6o,0.74485,0.25515
AJs,K6o,0.67495,0.32504999999999995
AJs,Q6o,0.6599,0.34009999999999996
AJs,J6o,0.761,0.239
AJs,T6o,0.6754,0.3246
AJs,96o,0.6625,0.3375
AJs,86o,0.65955,0.34045000000000003
AJs,76o,0.6595,0.3405
AJs,66,0.48395,0.51605
AJs,65s,0.61205,0.38795
AJs,64s,0.62605,0.37395
AJs,63s,0.6643,0.3357
AJs,62s,0.64005,0.35995
AJs,A5o,0.7206,0.2794
AJs,K5o,0.65425,0.34575
AJs,Q5o,0.659,0.34099999999999997
AJs,J5o,0.7643,0.23570000000000002
AJs,T5o,0.6893,0.3107
AJs,95o,0.67385,0.32615000000000005
AJs,85o,0.6684,0.3316
AJs,75o,0.65955,0.34045000000000003
AJs,65o,0.6386,0.36140000000000005
AJs,55,0.4806,0.5194
AJs,54s,0.60385,0.39615
AJs,53s,0.62275,0.37725
AJs,52s,0.63475,0.36524999999999996
AJs,A4o,0.7357,0.2643
AJs,K4o,0.6554,0.3446
AJs,Q4o,0.67035,0.32965
AJs,J4o,0.76645,0.23355000000000004
AJs,T4o,0.69365,0.30635
AJs,94o,0.6933,0.3067
AJs,84o,0.68235,0.31765
AJs,74o,0.6654,0.3346
AJs,64o,0.6539,0.34609999999999996
AJs,54o,0.6371,0.3629
AJs,44,0.49505,0.50495
AJs,43s,0.6227,0.37729999999999997
AJs,42s,0.6379,0.3621
AJs,A3o,0.73385,0.26615
AJs,K3o,0.6714,0.3286
AJs,Q3o,0.6714,0.3286
AJs,J3o,0.7845,0.21550000000000002
AJs,T3o,0.69845,0.30155
AJs,93o,0.69985,0.30015000000000003
AJs,83o,0.6856,0.3144
AJs,73o,0.67095,0.32904999999999995
AJs,63o,0.6707,0.32930000000000004
AJs,53o,0.6555,0.34450000000000003
AJs,43o,0.662,0.33799999999999997
AJs,33,0.49955,0.5004500000000001
AJs,32s,0.63735,0.36265000000000003
AJs,A2o,0.74375,0.25625
AJs,K2o,0.6841,0.31589999999999996
AJs,Q2o,0.67065,0.32935000000000003
AJs,J2o,0.78435,0.21565
AJs,T2o,0.70345,0.29655
AJs,92o,0.69425,0.30574999999999997
AJs,82o,0.69425,0.30574999999999997
AJs,72o,0.7005,0.2995
AJs,62o,0.67895,0.32104999999999995
AJs,52o,0.66285,0.33714999999999995
AJs,42o,0.67785,0.32215000000000005
AJs,32o,0.67675,0.32325000000000004
AJs,22,0.50675,0.49324999999999997
ATs,A9s,0.69075,0.30925
ATs,A8s,0.68735,0.31265
ATs,A7s,0.69575,0.30425
ATs,A6s,0.7178,0.2822
ATs,A5s,0.66715,0.33285
ATs,A4s,0.7057,0.2943
ATs,A3s,0.6815,0.3185
ATs,A2s,0.71115,0.28885000000000005
ATs,AKo,0.30795,0.69205
ATs,KK,0.3284,0.6716
ATs,KQs,0.57835,0.42164999999999997
ATs,KJs,0.5783,0.42169999999999996
ATs,KTs,0.7125,0.2875
ATs,K9s,0.6233,0.37670000000000003
ATs,K8s,0.6737,0.32630000000000003
ATs,K7s,0.6275,0.37250000000000005
ATs,K6s,0.6282,0.3718
ATs,K5s,0.63535,0.36465000000000003
ATs,K4s,0.6264,0.37360000000000004
ATs,K3s,0.6307,0.36929999999999996
ATs,K2s,0.6682,0.3318
ATs,AQo,0.3072,0.6928000000000001
ATs,KQo,0.61725,0.38275000000000003
ATs,QQ,0.3328,0.6672
ATs,QJs,0.5745,0.4255
ATs,QTs,0.698,0.30200000000000005
ATs,Q9s,0.61455,0.38544999999999996
ATs,Q8s,0.6187,0.3813
ATs,Q7s,0.63175,0.36824999999999997
ATs,Q6s,0.62655,0.37344999999999995
ATs,Q5s,0.6229,0.3771
ATs,Q4s,0.6623,0.3377
ATs,Q3s,0.6288,0.3712
ATs,Q2s,0.6363,0.3637
ATs,AJo,0.32635,0.6736500000000001
ATs,KJo,0.6103,0.38970000000000005
ATs,QJo,0.61015,0.38985000000000003
ATs,JJ,0.32535,0.67465
ATs,JTs,0.6864,0.3136
ATs,J9s,0.6258,0.3742
ATs,J8s,0.6117,0.3883
ATs,J7s,0.6217,0.37829999999999997
ATs,J6s,0.6233,0.37670000000000003
